space_index,time_index,time_center_s,location_center_m,speed_kmh,sample_count,filled,t_bottom_left_s,t_bottom_right_s,t_top_right_s,t_top_left_s,x_bottom_m,x_top_m
0,119,3580.375,26.577777777777662,23.161253968253973,60,0,3571.0,3601.0,3589.75,3559.75,1.57777777777766,51.57777777777766
0,120,3610.375,26.577777777777662,21.86126984126984,42,0,3601.0,3631.0,3619.75,3589.75,1.57777777777766,51.57777777777766
0,121,3640.375,26.577777777777662,,0,0,3631.0,3661.0,3649.75,3619.75,1.57777777777766,51.57777777777766
0,122,3670.375,26.577777777777662,,0,0,3661.0,3691.0,3679.75,3649.75,1.57777777777766,51.57777777777766
0,123,3700.375,26.577777777777662,,0,0,3691.0,3721.0,3709.75,3679.75,1.57777777777766,51.57777777777766
0,124,3730.375,26.577777777777662,,0,0,3721.0,3751.0,3739.75,3709.75,1.57777777777766,51.57777777777766
0,125,3760.375,26.577777777777662,,0,0,3751.0,3781.0,3769.75,3739.75,1.57777777777766,51.57777777777766
0,126,3790.375,26.577777777777662,,0,0,3781.0,3811.0,3799.75,3769.75,1.57777777777766,51.57777777777766
0,127,3820.375,26.577777777777662,,0,0,3811.0,3841.0,3829.75,3799.75,1.57777777777766,51.57777777777766
0,128,3850.375,26.577777777777662,,0,0,3841.0,3871.0,3859.75,3829.75,1.57777777777766,51.57777777777766
0,129,3880.375,26.577777777777662,,0,0,3871.0,3901.0,3889.75,3859.75,1.57777777777766,51.57777777777766
1,0,-0.875,76.57777777777765,68.69166666666666,6,0,-10.25,19.75,8.5,-21.5,51.57777777777766,101.57777777777765
1,1,29.125,76.57777777777765,73.58555555555556,9,0,19.75,49.75,38.5,8.5,51.57777777777766,101.57777777777765
1,2,59.125,76.57777777777765,72.18153846153847,13,0,49.75,79.75,68.5,38.5,51.57777777777766,101.57777777777765
1,3,89.125,76.57777777777765,72.32529411764708,17,0,79.75,109.75,98.5,68.5,51.57777777777766,101.57777777777765
1,4,119.125,76.57777777777765,63.561515151515145,33,0,109.75,139.75,128.5,98.5,51.57777777777766,101.57777777777765
1,5,149.125,76.57777777777765,68.15280000000001,25,0,139.75,169.75,158.5,128.5,51.57777777777766,101.57777777777765
1,6,179.125,76.57777777777765,67.25999999999998,31,0,169.75,199.75,188.5,158.5,51.57777777777766,101.57777777777765
1,7,209.125,76.57777777777765,73.48600000000002,15,0,199.75,229.75,218.5,188.5,51.57777777777766,101.57777777777765
1,8,239.125,76.57777777777765,70.13470588235293,17,0,229.75,259.75,248.5,218.5,51.57777777777766,101.57777777777765
1,9,269.125,76.57777777777765,76.34727272727274,11,0,259.75,289.75,278.5,248.5,51.57777777777766,101.57777777777765
1,10,299.125,76.57777777777765,74.7025,12,0,289.75,319.75,308.5,278.5,51.57777777777766,101.57777777777765
1,11,329.125,76.57777777777765,68.94882352941178,34,0,319.75,349.75,338.5,308.5,51.57777777777766,101.57777777777765
1,12,359.125,76.57777777777765,69.84584795321636,19,0,349.75,379.75,368.5,338.5,51.57777777777766,101.57777777777765
1,13,389.125,76.57777777777765,62.58576923076923,26,0,379.75,409.75,398.5,368.5,51.57777777777766,101.57777777777765
1,14,419.125,76.57777777777765,61.88266666666666,30,0,409.75,439.75,428.5,398.5,51.57777777777766,101.57777777777765
1,15,449.125,76.57777777777765,62.858249999999984,40,0,439.75,469.75,458.5,428.5,51.57777777777766,101.57777777777765
1,16,479.125,76.57777777777765,66.42516129032259,31,0,469.75,499.75,488.5,458.5,51.57777777777766,101.57777777777765
1,17,509.125,76.57777777777765,68.859375,16,0,499.75,529.75,518.5,488.5,51.57777777777766,101.57777777777765
1,18,539.125,76.57777777777765,71.08416666666668,24,0,529.75,559.75,548.5,518.5,51.57777777777766,101.57777777777765
1,19,569.125,76.57777777777765,67.6405,20,0,559.75,589.75,578.5,548.5,51.57777777777766,101.57777777777765
1,20,599.125,76.57777777777765,70.10684210526317,19,0,589.75,619.75,608.5,578.5,51.57777777777766,101.57777777777765
1,21,629.125,76.57777777777765,69.71261904761907,21,0,619.75,649.75,638.5,608.5,51.57777777777766,101.57777777777765
1,22,659.125,76.57777777777765,69.40499999999999,16,0,649.75,679.75,668.5,638.5,51.57777777777766,101.57777777777765
1,23,689.125,76.57777777777765,65.7097435897436,39,0,679.75,709.75,698.5,668.5,51.57777777777766,101.57777777777765
1,24,719.125,76.57777777777765,67.78634920634921,28,0,709.75,739.75,728.5,698.5,51.57777777777766,101.57777777777765
1,25,749.125,76.57777777777765,62.74639999999999,25,0,739.75,769.75,758.5,728.5,51.57777777777766,101.57777777777765
1,26,779.125,76.57777777777765,64.74727272727273,22,0,769.75,799.75,788.5,758.5,51.57777777777766,101.57777777777765
1,27,809.125,76.57777777777765,65.8525,28,0,799.75,829.75,818.5,788.5,51.57777777777766,101.57777777777765
1,28,839.125,76.57777777777765,70.93700000000001,10,0,829.75,859.75,848.5,818.5,51.57777777777766,101.57777777777765
1,29,869.125,76.57777777777765,59.747894736842106,19,0,859.75,889.75,878.5,848.5,51.57777777777766,101.57777777777765
1,30,899.125,76.57777777777765,57.33857142857143,28,0,889.75,919.75,908.5,878.5,51.57777777777766,101.57777777777765
1,31,929.125,76.57777777777765,55.205283018867924,53,0,919.75,949.75,938.5,908.5,51.57777777777766,101.57777777777765
1,32,959.125,76.57777777777765,47.910677966101694,59,0,949.75,979.75,968.5,938.5,51.57777777777766,101.57777777777765
1,33,989.125,76.57777777777765,49.71163265306122,49,0,979.75,1009.75,998.5,968.5,51.57777777777766,101.57777777777765
1,34,1019.125,76.57777777777765,51.27279069767441,43,0,1009.75,1039.75,1028.5,998.5,51.57777777777766,101.57777777777765
1,35,1049.125,76.57777777777765,41.22701754385965,57,0,1039.75,1069.75,1058.5,1028.5,51.57777777777766,101.57777777777765
1,36,1079.125,76.57777777777765,43.00185185185185,54,0,1069.75,1099.75,1088.5,1058.5,51.57777777777766,101.57777777777765
1,37,1109.125,76.57777777777765,47.74113636363638,44,0,1099.75,1129.75,1118.5,1088.5,51.57777777777766,101.57777777777765
1,38,1139.125,76.57777777777765,47.36041666666666,24,0,1129.75,1159.75,1148.5,1118.5,51.57777777777766,101.57777777777765
1,39,1169.125,76.57777777777765,55.93863636363637,22,0,1159.75,1189.75,1178.5,1148.5,51.57777777777766,101.57777777777765
1,40,1199.125,76.57777777777765,61.714230769230774,26,0,1189.75,1219.75,1208.5,1178.5,51.57777777777766,101.57777777777765
1,41,1229.125,76.57777777777765,56.829006211180136,46,0,1219.75,1249.75,1238.5,1208.5,51.57777777777766,101.57777777777765
1,42,1259.125,76.57777777777765,66.43809523809526,21,0,1249.75,1279.75,1268.5,1238.5,51.57777777777766,101.57777777777765
1,43,1289.125,76.57777777777765,60.425483870967746,31,0,1279.75,1309.75,1298.5,1268.5,51.57777777777766,101.57777777777765
1,44,1319.125,76.57777777777765,68.50166666666665,12,0,1309.75,1339.75,1328.5,1298.5,51.57777777777766,101.57777777777765
1,45,1349.125,76.57777777777765,57.461000000000006,30,0,1339.75,1369.75,1358.5,1328.5,51.57777777777766,101.57777777777765
1,46,1379.125,76.57777777777765,53.62562500000001,48,0,1369.75,1399.75,1388.5,1358.5,51.57777777777766,101.57777777777765
1,47,1409.125,76.57777777777765,60.92678571428571,28,0,1399.75,1429.75,1418.5,1388.5,51.57777777777766,101.57777777777765
1,48,1439.125,76.57777777777765,63.328518518518514,27,0,1429.75,1459.75,1448.5,1418.5,51.57777777777766,101.57777777777765
1,49,1469.125,76.57777777777765,63.84911764705882,34,0,1459.75,1489.75,1478.5,1448.5,51.57777777777766,101.57777777777765
1,50,1499.125,76.57777777777765,58.724571428571416,35,0,1489.75,1519.75,1508.5,1478.5,51.57777777777766,101.57777777777765
1,51,1529.125,76.57777777777765,55.595,34,0,1519.75,1549.75,1538.5,1508.5,51.57777777777766,101.57777777777765
1,52,1559.125,76.57777777777765,57.44681818181818,44,0,1549.75,1579.75,1568.5,1538.5,51.57777777777766,101.57777777777765
1,53,1589.125,76.57777777777765,39.12854166666667,48,0,1579.75,1609.75,1598.5,1568.5,51.57777777777766,101.57777777777765
1,54,1619.125,76.57777777777765,30.170983606557385,61,0,1609.75,1639.75,1628.5,1598.5,51.57777777777766,101.57777777777765
1,55,1649.125,76.57777777777765,31.907887323943662,71,0,1639.75,1669.75,1658.5,1628.5,51.57777777777766,101.57777777777765
1,56,1679.125,76.57777777777765,35.7318,50,0,1669.75,1699.75,1688.5,1658.5,51.57777777777766,101.57777777777765
1,57,1709.125,76.57777777777765,34.51202898550725,69,0,1699.75,1729.75,1718.5,1688.5,51.57777777777766,101.57777777777765
1,58,1739.125,76.57777777777765,32.53671875,64,0,1729.75,1759.75,1748.5,1718.5,51.57777777777766,101.57777777777765
1,59,1769.125,76.57777777777765,28.74981132075472,53,0,1759.75,1789.75,1778.5,1748.5,51.57777777777766,101.57777777777765
1,60,1799.125,76.57777777777765,24.058253968253975,63,0,1789.75,1819.75,1808.5,1778.5,51.57777777777766,101.57777777777765
1,61,1829.125,76.57777777777765,24.478266666666663,75,0,1819.75,1849.75,1838.5,1808.5,51.57777777777766,101.57777777777765
1,62,1859.125,76.57777777777765,27.7408,75,0,1849.75,1879.75,1868.5,1838.5,51.57777777777766,101.57777777777765
1,63,1889.125,76.57777777777765,31.75186440677967,59,0,1879.75,1909.75,1898.5,1868.5,51.57777777777766,101.57777777777765
1,64,1919.125,76.57777777777765,28.11734375,64,0,1909.75,1939.75,1928.5,1898.5,51.57777777777766,101.57777777777765
1,65,1949.125,76.57777777777765,21.39303797468354,79,0,1939.75,1969.75,1958.5,1928.5,51.57777777777766,101.57777777777765
1,66,1979.125,76.57777777777765,21.678448275862067,58,0,1969.75,1999.75,1988.5,1958.5,51.57777777777766,101.57777777777765
1,67,2009.125,76.57777777777765,27.65222222222222,63,0,1999.75,2029.75,2018.5,1988.5,51.57777777777766,101.57777777777765
1,68,2039.125,76.57777777777765,31.355070422535217,71,0,2029.75,2059.75,2048.5,2018.5,51.57777777777766,101.57777777777765
1,69,2069.125,76.57777777777765,31.22708494208494,74,0,2059.75,2089.75,2078.5,2048.5,51.57777777777766,101.57777777777765
1,70,2099.125,76.57777777777765,29.40603174603175,63,0,2089.75,2119.75,2108.5,2078.5,51.57777777777766,101.57777777777765
1,71,2129.125,76.57777777777765,33.45179999999999,50,0,2119.75,2149.75,2138.5,2108.5,51.57777777777766,101.57777777777765
1,72,2159.125,76.57777777777765,36.58822580645162,62,0,2149.75,2179.75,2168.5,2138.5,51.57777777777766,101.57777777777765
1,73,2189.125,76.57777777777765,36.56013333333333,50,0,2179.75,2209.75,2198.5,2168.5,51.57777777777766,101.57777777777765
1,74,2219.125,76.57777777777765,33.44714285714286,56,0,2209.75,2239.75,2228.5,2198.5,51.57777777777766,101.57777777777765
1,75,2249.125,76.57777777777765,28.27489795918368,49,0,2239.75,2269.75,2258.5,2228.5,51.57777777777766,101.57777777777765
1,76,2279.125,76.57777777777765,20.09393939393939,66,0,2269.75,2299.75,2288.5,2258.5,51.57777777777766,101.57777777777765
1,77,2309.125,76.57777777777765,21.037435897435913,78,0,2299.75,2329.75,2318.5,2288.5,51.57777777777766,101.57777777777765
